#node;bacteria;kingdom;phylum;class;genus;species;bacgroup;sequencing_status;taxid;habitat
2163;Brucella_melitensis_NI_uid158853;Bacteria;Proteobacteria;Alphaproteobacteria;Brucella;Brucella_melitensis;Alphaproteobacteria;1;1029825;Animal
2166;Brucella_pinnipedialis_B2_94_uid71131;Bacteria;Proteobacteria;Alphaproteobacteria;Brucella;Brucella_pinnipedialis;Alphaproteobacteria;1;520461;Animal
2167;Brucella_suis_1330_uid159871;Bacteria;Proteobacteria;Alphaproteobacteria;Brucella;Brucella_suis;Alphaproteobacteria;1;204722;Animal
2168;Brucella_suis_1330_uid57927;Bacteria;Proteobacteria;Alphaproteobacteria;Brucella;Brucella_suis;Alphaproteobacteria;1;204722;Animal
2170;Brucella_suis_VBI22_uid83617;Bacteria;Proteobacteria;Alphaproteobacteria;Brucella;Brucella_suis;Alphaproteobacteria;1;1112912;Animal
2269;Candidatus_Liberibacter_solanacearum_CLso_ZC1_uid61245;Bacteria;Proteobacteria;Alphaproteobacteria;Candidatus;Candidatus_Liberibacter;Alphaproteobacteria;1;658172;Plant
2559;Ehrlichia_canis_Jake_uid58071;Bacteria;Proteobacteria;Alphaproteobacteria;Ehrlichia;Ehrlichia_canis;Alphaproteobacteria;1;269484;Animal
2725;Gluconacetobacter_diazotrophicus_PAl_5_uid59075;Bacteria;Proteobacteria;Alphaproteobacteria;Gluconacetobacter;Gluconacetobacter_diazotrophicus;Alphaproteobacteria;1;272568;Plant
2726;Gluconacetobacter_diazotrophicus_PAl_5_uid61587;Bacteria;Proteobacteria;Alphaproteobacteria;Gluconacetobacter;Gluconacetobacter_diazotrophicus;Alphaproteobacteria;1;272568;Plant
2728;Gluconobacter_oxydans_621H_uid58239;Bacteria;Proteobacteria;Alphaproteobacteria;Gluconobacter;Gluconobacter_oxydans;Alphaproteobacteria;1;290633;Plant
2996;Mesorhizobium_loti_MAFF303099_uid57601;Bacteria;Proteobacteria;Alphaproteobacteria;Mesorhizobium;Mesorhizobium_loti;Alphaproteobacteria;1;266835;Animal
3053;Methylobacterium_nodulans_ORS_2060_uid59023;Bacteria;Proteobacteria;Alphaproteobacteria;Methylobacterium;Methylobacterium_nodulans;Alphaproteobacteria;1;460265;Plant
3054;Methylobacterium_populi_BJ001_uid58937;Bacteria;Proteobacteria;Alphaproteobacteria;Methylobacterium;Methylobacterium_populi;Alphaproteobacteria;1;441620;Plant
3055;Methylobacterium_radiotolerans_JCM_2831_uid58845;Bacteria;Proteobacteria;Alphaproteobacteria;Methylobacterium;Methylobacterium_radiotolerans;Alphaproteobacteria;1;426355;Plant
3198;Neorickettsia_risticii_Illinois_uid58889;Bacteria;Proteobacteria;Alphaproteobacteria;Neorickettsia;Neorickettsia_risticii;Alphaproteobacteria;1;434131;Animal
3228;Ochrobactrum_anthropi_ATCC_49188_uid58921;Bacteria;Proteobacteria;Alphaproteobacteria;Ochrobactrum;Ochrobactrum_anthropi;Alphaproteobacteria;1;439375;Animal
3261;Parvibaculum_lavamentivorans_DS_1_uid58739;Bacteria;Proteobacteria;Alphaproteobacteria;Parvibaculum;Parvibaculum_lavamentivorans;Alphaproteobacteria;1;402881;Plant
3403;Rhizobium_etli_CFN_42_uid58377;Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobium;Rhizobium_etli;Alphaproteobacteria;1;347834;Plant
3408;Rhizobium_NGR234_uid59081;Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobium;Rhizobium_NGR234;Alphaproteobacteria;1;394;Plant
3427;Rhodopseudomonas_palustris_TIE_1_uid58995;Bacteria;Proteobacteria;Alphaproteobacteria;Rhodopseudomonas;Rhodopseudomonas_palustris;Alphaproteobacteria;1;395960;Plant
3434;Rickettsia_africae_ESF_5_uid58799;Bacteria;Proteobacteria;Alphaproteobacteria;Rickettsia;Rickettsia_africae;Alphaproteobacteria;1;347255;Animal
3446;Rickettsia_massiliae_MTU5_uid58801;Bacteria;Proteobacteria;Alphaproteobacteria;Rickettsia;Rickettsia_massiliae;Alphaproteobacteria;1;416276;Animal
3470;Rickettsia_typhi_B9991CWPP_uid158357;Bacteria;Proteobacteria;Alphaproteobacteria;Rickettsia;Rickettsia_typhi;Alphaproteobacteria;1;1003202;Animal
3480;Roseobacter_denitrificans_OCh_114_uid58597;Bacteria;Proteobacteria;Alphaproteobacteria;Roseobacter;Roseobacter_denitrificans;Alphaproteobacteria;1;375451;Animal
1907;Acidovorax_avenae_ATCC_19860_uid42497;Bacteria;Proteobacteria;Betaproteobacteria;Acidovorax;Acidovorax_avenae;Betaproteobacteria;1;643561;Plant
1909;Acidovorax_ebreus_TPSY_uid59233;Bacteria;Proteobacteria;Betaproteobacteria;Acidovorax;Acidovorax_ebreus;Betaproteobacteria;1;535289;Animal
1934;Advenella_kashmirensis_WT001_uid80859;Bacteria;Proteobacteria;Betaproteobacteria;Advenella;Advenella_kashmirensis;Betaproteobacteria;1;1036672;Animal
2009;Azoarcus_BH72_uid61603;Bacteria;Proteobacteria;Betaproteobacteria;Azoarcus;Azoarcus_BH72;Betaproteobacteria;1;62928;Plant
2185;Burkholderia_ambifaria_AMMD_uid58303;Bacteria;Proteobacteria;Betaproteobacteria;Burkholderia;Burkholderia_ambifaria;Betaproteobacteria;1;339670;Plant
2196;Burkholderia_glumae_BGR1_uid59397;Bacteria;Proteobacteria;Betaproteobacteria;Burkholderia;Burkholderia_glumae;Betaproteobacteria;1;626418;Plant
2197;Burkholderia_KJ006_uid165871;Bacteria;Proteobacteria;Betaproteobacteria;Burkholderia;Burkholderia_KJ006;Betaproteobacteria;1;416344;Plant
2199;Burkholderia_mallei_NCTC_10229_uid58383;Bacteria;Proteobacteria;Betaproteobacteria;Burkholderia;Burkholderia_mallei;Betaproteobacteria;1;412022;Animal
2204;Burkholderia_phymatum_STM815_uid58699;Bacteria;Proteobacteria;Betaproteobacteria;Burkholderia;Burkholderia_phymatum;Betaproteobacteria;1;391038;Plant
2205;Burkholderia_phytofirmans_PsJN_uid58729;Bacteria;Proteobacteria;Betaproteobacteria;Burkholderia;Burkholderia_phytofirmans;Betaproteobacteria;1;398527;Plant
2212;Burkholderia_rhizoxinica_HKI_454_uid60487;Bacteria;Proteobacteria;Betaproteobacteria;Burkholderia;Burkholderia_rhizoxinica;Betaproteobacteria;1;882378;Plant
2213;Burkholderia_thailandensis_E264_uid58081;Bacteria;Proteobacteria;Betaproteobacteria;Burkholderia;Burkholderia_thailandensis;Betaproteobacteria;1;271848;Plant
2290;Candidatus_Tremblaya_princeps_PCIT_uid68741;Bacteria;Proteobacteria;Betaproteobacteria;Candidatus;Candidatus_Tremblaya;Betaproteobacteria;1;891398;Plant
2291;Candidatus_Tremblaya_princeps_PCVAL_uid159519;Bacteria;Proteobacteria;Betaproteobacteria;Candidatus;Candidatus_Tremblaya;Betaproteobacteria;1;1053648;Plant
2489;Dechlorosoma_suillum_PS_uid81439;Bacteria;Proteobacteria;Betaproteobacteria;Dechlorosoma;Dechlorosoma_suillum;Betaproteobacteria;1;640081;Animal
2822;Herbaspirillum_seropedicae_SmR1_uid50427;Bacteria;Proteobacteria;Betaproteobacteria;Herbaspirillum;Herbaspirillum_seropedicae;Betaproteobacteria;1;757424;Plant
3047;Methylobacillus_flagellatus_KT_uid58049;Bacteria;Proteobacteria;Betaproteobacteria;Methylobacillus;Methylobacillus_flagellatus;Betaproteobacteria;1;265072;Animal
3208;Nitrosomonas_AL212_uid55727;Bacteria;Proteobacteria;Betaproteobacteria;Nitrosomonas;Nitrosomonas_AL212;Betaproteobacteria;1;153948;Animal
3210;Nitrosomonas_eutropha_C91_uid58363;Bacteria;Proteobacteria;Betaproteobacteria;Nitrosomonas;Nitrosomonas_eutropha;Betaproteobacteria;1;335283;Plant
3398;Ralstonia_solanacearum_GMI1000_uid57593;Bacteria;Proteobacteria;Betaproteobacteria;Ralstonia;Ralstonia_solanacearum;Betaproteobacteria;1;267608;Plant
3399;Ralstonia_solanacearum_Po82_uid162133;Bacteria;Proteobacteria;Betaproteobacteria;Ralstonia;Ralstonia_solanacearum;Betaproteobacteria;1;1031711;Plant
2531;Desulfovibrio_desulfuricans_ATCC_27774_uid59213;Bacteria;Proteobacteria;Deltaproteobacteria;Desulfovibrio;Desulfovibrio_desulfuricans;Deltaproteobacteria;1;525146;Animal
